label,bert_pred,bert_proba
0,0,0.00353143
0,0,0.010521712
0,0,0.0056548766
0,0,0.002409784
0,0,0.0054318947
0,0,0.002570115
0,0,0.0028515414
0,0,0.005109049
0,0,0.0021585105
0,0,0.0023724593
0,0,0.0029517876
0,0,0.004214339
0,0,0.0024241232
0,0,0.0024529696
0,0,0.0050099227
0,0,0.004032551
0,0,0.007871257
0,0,0.004624998
0,0,0.0049566096
0,0,0.007522042
0,0,0.0073453365
0,0,0.0030443699
0,0,0.0039780154
0,0,0.003494577
0,0,0.004046444
0,0,0.0040999814
0,0,0.0037154441
0,0,0.003986299
0,0,0.0028961406
0,0,0.0021292444
0,0,0.004048162
0,0,0.002719702
0,0,0.035910267
0,0,0.0043932605
0,0,0.0042822915
0,0,0.0049095615
0,0,0.005650832
0,0,0.0058722375
0,0,0.005155021
0,0,0.004883663
0,0,0.0049164654
0,0,0.0061064684
0,0,0.0035686723
0,0,0.017053628
0,0,0.004115755
0,0,0.0019911996
0,0,0.0063298633
0,0,0.0059420355
0,0,0.0025303385
0,0,0.007473524
0,0,0.0039043818
0,0,0.005150921
0,0,0.004105882
0,0,0.005061124
0,0,0.0029154492
0,0,0.0051085236
0,0,0.0037394383
0,0,0.0027972374
0,0,0.005439765
0,0,0.004457211
0,0,0.0022965316
0,0,0.005841918
0,0,0.0057788384
0,0,0.0043873326
0,0,0.0051161605
0,0,0.0054593193
0,0,0.0024005647
0,0,0.005873379
0,0,0.0051622083
0,0,0.0045462586
0,0,0.0055871746
0,0,0.0022003006
0,0,0.0057513667
0,0,0.006237782
0,0,0.005879438
0,0,0.00601109
0,0,0.016685877
0,0,0.004835679
0,0,0.0055795605
0,0,0.0049992143
0,0,0.005942596
0,0,0.004038216
0,0,0.007877437
0,0,0.005810383
0,0,0.003953661
0,0,0.0058384635
0,0,0.002425602
0,0,0.0023436986
0,0,0.0052847946
0,0,0.0026414155
0,0,0.0043217405
0,0,0.0053497525
0,0,0.0039251684
0,0,0.006079346
0,0,0.0054174415
0,0,0.005127024
0,0,0.0053024204
0,0,0.0032984347
0,0,0.00424284
0,0,0.005017752
0,0,0.0037168285
0,0,0.003731974
0,0,0.0051708645
0,0,0.005039163
0,0,0.0046762885
0,0,0.003930078
0,0,0.00425451
0,0,0.0036566693
0,0,0.004732021
0,0,0.003705756
0,0,0.0242188
0,0,0.0037776164
0,0,0.0024862566
0,0,0.004588257
0,0,0.016537985
0,0,0.003851679
0,0,0.002400109
0,0,0.0030994301
0,0,0.0069965995
0,0,0.0045141913
0,0,0.0026975598
0,0,0.0034602075
0,0,0.0025534178
0,0,0.02751576
0,0,0.15421243
0,0,0.002715095
0,0,0.04311898
0,0,0.033392556
0,0,0.0024860625
0,0,0.0024404156
0,0,0.011362524
0,0,0.0026595944
0,0,0.038724594
0,0,0.021215832
0,0,0.0029548276
0,0,0.020774111
0,0,0.037447844
0,0,0.0063690664
0,0,0.007522494
0,0,0.0029481733
0,0,0.007956882
0,0,0.006768725
0,0,0.0126358615
0,0,0.0026447678
0,0,0.0034488135
0,0,0.0021590055
0,0,0.0032556234
0,0,0.017276172
0,0,0.0026192002
0,0,0.009631405
0,0,0.01065608
0,0,0.03845288
0,0,0.015002384
0,0,0.0022001162
0,0,0.019072272
0,0,0.0029143333
0,0,0.0049274997
0,0,0.029739242
0,0,0.002737615
0,0,0.0027580287
0,0,0.008942962
0,0,0.019105095
0,0,0.0137902405
0,0,0.07612416
0,0,0.0027320422
0,0,0.015923599
0,0,0.00454146
0,0,0.0058681224
0,0,0.008410277
0,0,0.0035193895
0,0,0.02461128
0,0,0.28596902
0,0,0.008679431
0,0,0.009543764
0,0,0.005335881
0,0,0.002138251
0,0,0.0027910806
0,0,0.0020498587
0,0,0.0067385403
0,0,0.036731984
0,0,0.004767603
0,0,0.002019552
0,0,0.0025069593
0,0,0.0097069405
0,0,0.0036708324
0,0,0.015258794
